#,apiName,displayName,backingDatasetRID,properties,status
192,SpeakerKickscale,Speaker [Kickscale],ri.foundry.main.dataset.e5c00ee9-1a3a-4896-875c-fb3df4edc431,6,experimental
193,StructureAnalysisElement,Structure Analysis Element,ri.foundry.main.dataset.a2788624-ba19-4e5e-85fe-671a28cf3199,21,experimental
194,StructureAnalysisInstance,Structure Analysis Instance,ri.foundry.main.dataset.adda7151-51aa-4619-a3b2-96c80767b06f,17,experimental
195,StrukturAnalyseWithConsent,[Summit App] Struktur Analyse With Consent,ri.foundry.main.dataset.dd81b277-20ab-40bf-a1b7-925bcec3e5c4,31,active
196,Strukturanalyse,Strukturanalyse,ri.foundry.main.dataset.cb83a835-048e-4d6b-83df-b3db76bd23ab,24,experimental
197,StrukturanalyseForOsdk,Strukturanalyse for OSDK,ri.foundry.main.dataset.ad0da4ba-74aa-40d0-b8b9-08dc4331e314,21,experimental
198,Subscription,Subscription,ri.foundry.main.dataset.c2314d6b-7b1a-4d3c-9850-785286c36f73,15,active
199,SubscriptionLectureProgress,Subscription Lecture Progress,ri.foundry.main.dataset.eb480452-eb84-4ac7-b7fd-01d8cb78c4d5,7,experimental
200,SubscriptionModuleProgress,Subscription Module Progress,ri.foundry.main.dataset.c38f36d3-f7d2-47c7-994f-cb89a06394df,10,experimental
201,SubscriptionPause,Subscription Pause,ri.foundry.main.dataset.36f3a19a-d36a-40a5-b3f7-877a8b32c9b4,8,experimental
202,SummitAppDailySurveyAnswer,[Summit App] Daily Survey Answer,ri.foundry.main.dataset.86718b16-8923-4cc7-b3e0-87f2ad523264,9,experimental
203,SummitAppDailySurveyQuestion,[Summit App] Daily Survey Question,ri.foundry.main.dataset.c92ce31f-d945-4f3f-8df6-c7d6fd66500f,11,experimental
204,SummitAppMindset,[Summit App] Mindset,ri.foundry.main.dataset.53948d56-1469-4151-8d07-82019e3afaa1,8,experimental
205,SummitAppMoment,[Summit App] Moment,ri.foundry.main.dataset.16712f89-3207-41f0-b8fe-c44f2b1ccc84,25,experimental
206,SummitAppStrukturanalyse,Summit app Strukturanalyse,ri.foundry.main.dataset.d107a7ad-4aa3-455b-be5e-4af429ad07fb,13,experimental
207,SummitAppUser,[Summit App] User,ri.foundry.main.dataset.dabc40cc-2449-41b0-9175-9cbf15c2d970,4,experimental
208,SummitAppVideoWatchData,[Summit App] Video Watch Data,ri.foundry.main.dataset.0c39e009-b2c2-40f3-be14-4be41a473061,18,experimental
209,SummitAppZoomRecordings,Summit App Zoom Recordings,ri.foundry.main.dataset.453c6c4d-d37e-457d-a40a-f93565a153b6,11,active
210,SummitProfile,Summit Profile,ri.foundry.main.dataset.5b0c6bfe-6628-40a9-becd-6617438a45bb | ri.foundry.main.dataset.38ca0817-f07a-4b2e-bd76-41a32ec5d944,51,experimental
211,SummitSessionChatParticipation,[Summit] Session Chat Participation,ri.foundry.main.dataset.73efc70e-d397-42af-aec7-3150c128721c,14,experimental
212,SummitStrukturanalyseWa,Summit  Strukturanalyse WA,ri.foundry.main.dataset.c3ee23a6-9b4b-4a60-9f1e-fe8e064af376,41,experimental
213,TaskKontextAst,Task-Kontext[AST],ri.foundry.main.dataset.d173a3f3-abba-4759-a01c-3ea8634c6906,3,experimental
214,TempOpportunitiesForAlerts,[Temp] Opportunities for alerts,ri.foundry.main.dataset.0a2a6e8d-3ba2-424a-8c32-1ba4016654b9,35,experimental
215,TicketActivityFluent,[Fluent] Ticket Activity,ri.foundry.main.dataset.3c9796e3-77f8-4765-b368-ef1b0db1a16e,16,active
216,TicketFluent,Ticket [Fluent],ri.foundry.main.dataset.3a81abe1-f94e-4a5e-9b4a-43a6302fc9b4 | ri.foundry.main.dataset.2e09af5c-899f-42ff-b783-a3d1dde185b7 | ri.foundry.main.dataset.ad828567-0512-4581-8dc4-6019c1e1bb27,53,active
217,Tob,TOB,ri.foundry.main.dataset.19dc9499-9007-46c5-a828-fa44210b386d,15,experimental
218,TobYoutubeAnalytics,[TOB] Youtube Analytics,ri.foundry.main.dataset.7451d3ec-c39c-44e5-b649-dea1d6306195,21,experimental
219,Touchpoint,Touchpoint,ri.foundry.main.dataset.7ea1aa71-e582-4b11-a3ea-4a46f31cc0cb,6,experimental
220,TouchpointUtilityDeterminatorPrompt,Touchpoint Utility Determinator Prompt,ri.foundry.main.dataset.ae1365a6-4b69-4d09-bae4-7e83a9459280,3,experimental
221,TouchpointV2,Touchpoint v2,ri.foundry.main.dataset.9e740306-505f-4592-b53f-1b19247cb751,22,experimental
222,TouchpointV2Embeddings,Touchpoint v2 Embeddings,ri.foundry.main.dataset.30459b29-3198-4e01-8ef4-468e93d2cbfa,21,experimental
223,TouchpointsV2Curated,Touchpoints v2 Curated,ri.foundry.main.dataset.4cbd4f9b-d736-411d-8f8f-331e879e82ee,19,active
224,TranscriptSegmentZoom_1,[Zoom] Transcript Segment,ri.foundry.main.dataset.8c910c4b-a0b2-4946-bc7a-ccf9a1d71bcd,17,active
225,TranscriptZoom,[Zoom] Transcript,ri.foundry.main.dataset.5c19ca8d-98a9-4a68-aff0-f6ab8bf2422a,40,active
226,TypedFact,Typed Fact,ri.foundry.main.dataset.b3332782-c1b9-4d85-ab59-0f0d58550c33,9,experimental
227,UploadedUserPicture,Uploaded User Picture,ri.foundry.main.dataset.705645e4-fa1f-4af9-b8d0-c8aeac41b3ec,4,experimental
228,UserMediaReference,User Media Reference,ri.foundry.main.dataset.fa8bf600-b71e-4cd3-bc19-5ea616b5d0e4,6,experimental
229,UserUpload,User Upload,ri.foundry.main.dataset.522c3da2-1b73-4f00-af70-8ac8fa2bdef9,4,experimental
230,VapiAssistantsHistory,[VAPI] Assistants History,ri.foundry.main.dataset.8e80445a-562b-46ad-a760-cd79b17a82e6,58,experimental
231,VapiAssistantsLatest,[VAPI] Assistants Latest,ri.foundry.main.dataset.1d9db0c6-6143-404e-9e7e-001c21ff03f0,56,experimental
232,VapiCallReview,[VAPI] Call Review,ri.foundry.main.dataset.41bf0bb0-3acd-4f61-8037-ca52f547f952,7,experimental
233,VapiCallTranscriptReference,[VAPI] Call Transcript Reference,ri.foundry.main.dataset.19ba5cee-7bb0-4ee6-b6ea-8364ad828504,6,experimental
234,VapiCalls,[VAPI] Calls,ri.foundry.main.dataset.5431b476-19e3-4668-81a3-fef7937d6920,154,experimental
235,VimeoVideo,[Vimeo] Video,ri.foundry.main.dataset.b48e9db0-d632-4b33-973c-5b745808c1e3,22,experimental
236,WahaConversation,[SalesCRM] [Waha] WA Conversation,ri.foundry.main.dataset.30d0290b-4a94-4402-b0f0-e966dcf927f3,40,experimental
237,WahaConversationLabel,[WAHA] Conversation Label,ri.foundry.main.dataset.37349d91-3f93-4041-8471-e0eddda32c90,3,experimental
238,WahaEditsNoRv,[WAHA] Message Edit (no RV),ri.foundry.main.dataset.118dac5c-1029-48e7-9076-7bdae5a8aff7,7,experimental
239,WahaImage,[Waha] Image,ri.gps.main.view.1b669eb5-bfab-429e-8e19-411004a0315d,6,experimental
240,WahaLabelSyncLog,[Waha] Label Sync Log,ri.foundry.main.dataset.fe04e1e8-64e8-482e-81e6-0b3b7f149b84,11,experimental
241,WahaLead,WAHA Lead,ri.foundry.main.dataset.cb746756-8010-4db4-a190-ffb66d1e6048,35,experimental
242,WahaLeadDraft,WAHA Lead Draft,ri.foundry.main.dataset.74cca3ca-4679-467a-b900-9f8462e12eae,8,experimental
243,WahaMessageDeletedNoRv,[WAHA] Message Deleted (No RV),ri.foundry.main.dataset.a489fa51-7c87-4f0a-ae34-282dd04c8ee6,6,experimental
244,WahaMessageNoRv,[Waha] Message (no RV),ri.foundry.main.dataset.941c8907-867e-4b1f-8ef1-35497947de15,36,experimental
245,WahaMopLead,WAHA MOP Lead,ri.foundry.main.dataset.05f6fc19-1793-4695-a8f9-d5e5262a744b,14,experimental
246,WahaSessionStatus,[Waha] Sessions Status,ri.foundry.main.dataset.c121d268-4ac5-4927-8896-9a1044e29689,7,experimental
247,WahaStreamAudioMessageWithTranscription,[WAHA] Stream Audio Message With Transcription,ri.foundry.main.dataset.076921c6-d636-48fa-99c0-e4a154cf3041,19,experimental
248,WahaStrukturAnalyseImage,[WAHA] Struktur Analyse Image,ri.foundry.main.dataset.f5b031b9-fdb6-4d3a-b64c-f77bf4b5ebf6,16,experimental
249,WhatsAppChatV2,[Funnelbox] WhatsApp Chat,ri.foundry.main.dataset.6265f81a-e56b-484c-8481-9e8a5d7dffe0,25,active
250,WhatsAppMessageV4,Whats App Message V4,ri.foundry.main.dataset.51a505d5-edca-4eca-8e1f-58dac36193d6,28,experimental
251,WhatsAppThreadV4,Whats App Thread V4,ri.foundry.main.dataset.893a1bf4-9185-43f3-bf99-efb2a1955944,7,experimental
252,WhatsappDraftGeneration,Whatsapp Draft Generation,ri.foundry.main.dataset.1682c77c-7341-4281-80b4-c60e1196908b,8,experimental
253,WhatsappGenerationJobQueue,Whatsapp Generation Job Queue,ri.foundry.main.dataset.9a4dffa5-d486-49ec-9b9d-3dd3a6b1b283,10,experimental
254,WorkshopApplications,Workshop Applications,ri.foundry.main.dataset.9200aa84-7385-4730-9572-2ccf318fdea0,5,experimental
255,YoutubeAnalytics,Youtube Analytics,ri.foundry.main.dataset.a56ce36d-c7ef-4242-aa2d-4555236b9ef1,22,experimental
256,ZoomAudioMedia,[Zoom] Audio Media,ri.foundry.main.dataset.3d3ebfa8-3a2f-4db4-a139-6f675f093210,42,experimental
257,ZoomCallToAction,[Zoom] Call To Action,ri.foundry.main.dataset.e66e4748-3873-447c-88fc-fb44169ac8a5,24,experimental
258,ZoomChatInsight,[Zoom] Chat Insight,ri.foundry.main.dataset.6d3abbfc-4a22-47f0-a41d-03bea1390aec,10,experimental
259,ZoomChatKeywords,Zoom Chat Keywords,ri.foundry.main.dataset.b33c002a-2388-4e01-8db6-b58c4f80184c,6,experimental
260,ZoomCtaSearch,[Zoom] CTA Search,ri.foundry.main.dataset.437d9d0b-9640-4dee-b3cc-0cc42cc57833,13,experimental
261,ZoomDownloadUrlList,Zoom Download URL List,ri.foundry.main.dataset.8a01d57c-97f0-480c-adcd-768d3d522bec,34,experimental
262,ZoomEventSessionAttendance,[Zoom] Event Session Attendance,ri.foundry.main.dataset.970e4d88-7223-4e8a-a1da-980917aa28dd,52,active
263,ZoomEventSession_2,[Zoom] Event Session,ri.foundry.main.dataset.79ce12ea-f44f-4233-9da5-484c48239844,52,active
264,ZoomEventsZoom_1,[Zoom] Event,ri.foundry.main.dataset.dd5179a3-ecad-492e-a002-10d63a9d6a8e,13,active
265,ZoomLightChatMessage,[Zoom][Light] Chat Message,ri.foundry.main.dataset.ebe143ed-e6d6-40f8-a39d-91d2e6ae0d6c,12,experimental
266,ZoomMeetingCurrentAttende,Zoom Meeting Current Attende,ri.foundry.main.dataset.21335c5a-17d9-4eed-b2ea-1aec8243fdb4,24,experimental
267,ZoomMeetingStartedIncremental,EXPERIMENTAL Zoom Meeting Started Incremental,ri.foundry.main.dataset.84432d35-ead8-4096-b5ee-7f3645bde93c,13,experimental
268,ZoomMeetingStartedIncrementalDirect,EXPERIMENTAL Zoom Meeting Started Incremental Direct,ri.foundry.main.dataset.682bfc9a-7f43-4631-923c-2ce03bd7d54f,13,experimental
269,ZoomMessagesIncremental,EXPERIMENTAL Zoom Messages Incremental,ri.foundry.main.dataset.f8883d33-2949-4ee7-9d4c-9193d16cc447,20,experimental
270,ZoomQA_2,[Zoom] Meeting Polls Q&A,ri.foundry.main.dataset.12fb612a-4fb8-4e23-8b08-bc4cea133935,8,active
271,ZoomRecordingSessionWatchtime,[Zoom] Session Recording Day Segments,ri.foundry.main.dataset.d7891b26-a544-4398-8ce4-6bae49fdb673,7,experimental
272,ZoomStreamChatMessage,[Zoom][Stream] Chat Message,ri.foundry.main.dataset.d4fd3244-9edd-4559-aaa6-82c8fdf86597,78,experimental
273,ZoomSuggestedSessionDescription,[Zoom] Suggested Session Description,ri.foundry.main.dataset.9e4e980f-6292-4e12-b002-bf8c7d5b4365,8,experimental
274,ZoomSummitTranscipt,[Zoom] Summit Session Summary,ri.foundry.main.dataset.23a9ef94-19a8-44ea-9136-cd9be2046167,6,active
275,ZoomSurveyQA,[Zoom] Survey Q&A,ri.foundry.main.dataset.03091f70-c346-49c0-b0fc-1cbd97c4693b,12,experimental
276,ZoomSurveyQuestion,[Zoom] Survey Question,ri.foundry.main.dataset.103bbbb6-584f-4c7d-ab1c-d43b49526427,8,experimental
277,ZoomTicketJoinLink,[Zoom] Ticket Join Link,ri.foundry.main.dataset.ed9a652f-628b-4cea-9302-e32db0cf2a18,5,experimental
278,ZoomTicketsZoom,[Zoom] Ticket,ri.foundry.main.dataset.1ed27e23-4657-4c48-88c5-121735e9131c,17,active
279,ZoomToZapierForVimeo,Payload to Zoom,ri.foundry.main.dataset.3c25fad8-401e-4df5-8b7c-bbce1d09fb8d,12,active
280,ZoomTranscriptBlock,[Zoom] Transcript Block,ri.foundry.main.dataset.b2b9e72d-b4dc-4c97-95ad-cedf00e49ae2,17,experimental
281,ZoomTranscriptChunksEmbedding,[Zoom] Transcript Chunks Embedding,ri.foundry.main.dataset.8f190732-5162-484e-bff3-7eca89bafca5,19,active
282,ZoomTranscriptsRaw,[Zoom] Transcripts raw,ri.foundry.main.dataset.906b611f-62f8-4009-b8ea-7bd43eced258,35,experimental
283,ZoomVideoMedia,[Zoom] Video Media,ri.foundry.main.dataset.97a6e172-468e-4fa5-80f2-1e063568d4e6,42,experimental
284,ZoomZapierWebhook,Zoom Recording daten fur Zoom,ri.foundry.main.dataset.9e26517c-8968-45f8-a7cc-3d3fb22abbd0,43,experimental
285,_11LabsAgent,[11 Labs] Agent,ri.foundry.main.dataset.94d72d56-5304-4ecd-979a-2fc5f6bd01cb,12,experimental
286,_11LabsAgentHistory,[11 Labs] Agent History,ri.foundry.main.dataset.eaccb831-ee4b-4cf1-a127-ff47febfe5f6,13,experimental
287,_11LabsAgentUserFeedback,[11 Labs] Agent User Feedback,ri.foundry.main.dataset.501388ff-65a1-4fbc-a43b-ba9783b669ac,5,active
288,_11LabsAgentWorkflowEdge,[11 Labs] Agent Workflow Edge,ri.foundry.main.dataset.4a0cc912-69cc-420e-a015-d32b50558e3c,6,experimental
289,_11LabsAgentWorkflowNode,[11 Labs] Agent Workflow Node,ri.foundry.main.dataset.a9aa16f3-e2ae-4ced-a60a-cae91b2e3343,9,experimental
290,_11LabsCallReview,[11 Labs] Call Review,ri.foundry.main.dataset.7927c1ce-c3aa-4c81-b90e-05a776c24c74,6,experimental
291,_11LabsEvaluationCriteria,[11 Labs] Evaluation Criteria,ri.foundry.main.dataset.546dfab0-071a-4f18-9cd2-9c2c781dd7a4,6,experimental
292,_11LabsInsightAnswer,[11 Labs] Insight Answer,ri.foundry.main.dataset.d61b2d17-f42c-4d47-a600-55d5132254d4,9,experimental
293,_11LabsInsightQuestion,[11 Labs] Insight Question,ri.foundry.main.dataset.4dd41b76-4121-4e1e-848d-ee8c9ff34a4d,4,experimental
294,_11LabsInsightQueue,[11 Labs] Insight Queue,ri.foundry.main.dataset.a3f75a25-7e80-41cf-b482-525521cabb1b,6,experimental
295,_11LabsPhoneCall,[11 Labs] Phone Call,ri.foundry.main.dataset.2854bfa5-7e71-4519-b904-ca70cbe28423,9,experimental
296,_11LabsPhoneCallInformation,[11 Labs] Phone Call Information,ri.foundry.main.dataset.c33db028-7ae5-4731-a359-bfd436efe6fc,42,active
297,_11LabsTranscriptSegment,[11 Labs] Transcript Segment,ri.foundry.main.dataset.f2bce568-dae4-41e4-957d-f4b26b298b21,15,experimental
298,_11LabsTranscriptSegmentReview,[11 Labs] Transcript Segment Review,ri.foundry.main.dataset.93585afe-07fd-49b3-a0b3-4da8cb4f2cea,12,experimental
299,agentPrompt,Agent Prompt [AST],ri.foundry.main.dataset.87963f41-34ff-40ed-b337-a9297d2fc839,5,experimental
300,contact,Contact [AST],ri.foundry.main.dataset.87963f41-34ff-40ed-b337-a9297d2fc839,5,experimental
301,context,Context [AST],ri.foundry.main.dataset.87963f41-34ff-40ed-b337-a9297d2fc839,3,experimental
302,inboxItem,Inbox Item [AST],ri.foundry.main.dataset.87963f41-34ff-40ed-b337-a9297d2fc839,5,experimental
303,initiative,Initiative [AST],ri.foundry.main.dataset.73ad1853-4b93-4d2e-b8ec-20abc5e496a6,9,experimental
304,leadProfilev2,Lead Profile,ri.foundry.main.dataset.986f39ec-b6ff-48ac-9dcb-7e4faebb0007 | ri.foundry.main.dataset.90c230e2-6f46-42c0-b84e-884c4aad1bee,7,active
305,task,Task [AST],ri.foundry.main.dataset.73ad1853-4b93-4d2e-b8ec-20abc5e496a6,10,experimental
