#,apiName,displayName,backingDatasetRID,properties,status
45,Contract,Contract,ri.foundry.main.dataset.0c6992cf-a3bd-4192-b5e8-f8a6c18e15e5,55,active
46,ContractsToBeExportedNeedApproval,Contracts To Be Exported (need approval),ri.foundry.main.dataset.b27b0bc5-c5e2-4ebe-b48b-00e3aa03d044,76,experimental
47,CsicCoachingSessionInsightChunk,CSIC - Coaching Session Insight Chunk,ri.foundry.main.dataset.db28a883-abda-4b16-b14c-7dec881168b2,20,experimental
48,Customer,Customer,ri.foundry.main.dataset.ad22d053-bd51-426e-b528-34cad537ad13,17,active
49,CustomerSessionOpened,Customer Session Opened,ri.foundry.main.dataset.5280ee0e-585a-43bc-b717-ff08079f05d4,5,experimental
50,DailyRecapEmail,Daily Recap Email,ri.foundry.main.dataset.d6d93fe4-5d77-4b64-8618-f927aa1c640a,26,experimental
51,DraftWhatsappAnswer,Draft Whatsapp Answer,ri.foundry.main.dataset.10f35fb5-6175-476b-8f5d-c033e43e50a1,11,experimental
52,EmailOfferCohort,Email Offer Cohort,ri.foundry.main.dataset.dcdb46b4-a9ee-4ffb-8bae-5aaf1ef91282,9,experimental
53,EmbeddingCluster,[Embedding] Cluster,ri.foundry.main.dataset.1e866ef3-5f57-4fe8-9cf4-f976ccd136e4,4,experimental
54,Equipment,Equipment,ri.foundry.main.dataset.11233ba0-7dbc-4a0f-b7ef-d603d1a73e08,11,experimental
55,FinalOutput,Final Output,ri.foundry.main.dataset.b298561d-0ac9-4645-b67b-1a74d9e48056,20,experimental
56,FinalOutputMultiNodes,Final Output multi nodes,ri.foundry.main.dataset.855b4654-d248-407c-8bad-ed46e74abe16,50,experimental
57,FormSubmission,Form Submission,ri.foundry.main.dataset.6b0d86d1-a7f3-4f09-8c5c-5791ecd8c455,4,experimental
58,FormSubmissionAnswer,Form Submission Answer,ri.foundry.main.dataset.b0d33087-d448-4834-816d-212c0dd20c81,5,experimental
59,FormSubmissionsV2,Form Submissions v2,ri.foundry.main.dataset.cef8ed27-2dc1-47ec-8b88-bb8bfbdeef8b,7,active
60,FoundryDataCoachingProgrammLektionen,[Product] Lecture,ri.foundry.main.dataset.6626c7fc-1dd1-4c7f-bd43-f63e799dae2f,5,experimental
61,FoundryDataCoachingProgrammModule,[Product] Module,ri.foundry.main.dataset.569c169a-f7cf-47ac-b806-23b40635df68,5,experimental
62,FoundryDataCoachingProgrammSessionTypen,[Product] Session-Type,ri.foundry.main.dataset.f7095540-4b6f-45b9-adde-f37380889a0f,4,experimental
63,FoundryResource,Foundry Resource,ri.foundry.main.dataset.37908754-f1dd-4331-92a5-78598aa498d1,19,experimental
64,FoundryResourceAlert,Foundry Resource Alert,ri.foundry.main.dataset.4a92cd6e-733e-4199-87ac-7683a6c31d50,7,experimental
65,FoundryResourceDailyCost,Foundry Resource Daily Cost,ri.foundry.main.dataset.f6067ce4-8810-4ad7-92ef-33fcf00510ac,5,experimental
66,FoundryResourceRole,Foundry Resource Role,ri.foundry.main.dataset.79e9427f-a2e8-42c5-9dc4-e23c941bbd00,5,experimental
67,FoundryUser,Foundry User,ri.foundry.main.dataset.56318560-37a1-4626-99d0-5d912cf88c35,11,experimental
68,FunnelboxContactV2,[Funnelbox] Contact v2,ri.foundry.main.dataset.83fb3ce9-f3ff-4782-9318-26ad18ab8454 | ri.foundry.main.dataset.1722348f-fd7a-49b0-b7f8-4e0337f584c6,67,active
69,FunnelboxEmailThread,[Funnelbox] EMail Thread,ri.foundry.main.dataset.630ce87c-9d89-4053-8260-4c62aeeee231,11,experimental
70,FunnelboxTagsCreationJob,Funnelbox Tags Creation Job,ri.foundry.main.dataset.57e312c5-4f6b-4731-84d9-4d3875890ddd,13,experimental
71,FunnelboxVideo,[Funnelbox] Video,ri.foundry.main.dataset.25dc10eb-fecb-4c5f-83fe-55b59936f743,6,experimental
72,FunnelboxVideoTracking,[Funnelbox] Video Tracking,ri.foundry.main.dataset.ae6d6f51-afb3-4587-b84c-83a81f3febfd,11,experimental
73,GhlForm,[GHL] Form,ri.foundry.main.dataset.68fce217-cfb6-498a-bd01-cf8b67bde142,7,experimental
